field,value
paper_filename,ADAA_SSRN_Working_Paper_v1.24_FINAL_FREEZE.pdf
paper_pdf_sha256,1ddf4f8eb1078791e7dba91a76a006638086c954182170ec04d87f6d86d64fad
paper_pages,26
paper_status,SSRN_v1.24_REVISE_SUBMITTED_2026-08-14
public_replication_predecessor,v1.0.2_IMMUTABLE
superseded_local_candidate,v1.1.0_RC_NOT_PUBLIC
science_change_from_v1.0.2,NO
release_change,exact-exhibit-reproducibility-publication-source-traceability-and-final-pdf-binding
exact_renderer,18_RENDER_PUBLICATION_EXHIBITS_v1_1_4.py
exact_figure_manifest,EXACT_FIGURE_RENDER_MANIFEST_v1.1.4.csv
